Subject	ChooseA_ACC	ChooseB_ACC	NumTrainingTrials	Pre_Incongruent_SimonRT	Pre_Congruent_SimonRT	Pre_CongruencyEffect_SimonRT	Pre_Incongruent_SimonACC	Pre_Congruent_SimonACC	Pre_CongruencyEffect_SimonACC	Pre_OPScore	Pre_RSScore	Pre_RavensScore	Pre_NDCompScore	ND_Percentile	Pre_Switch_RT	Pre_Repeat_RT	Pre_SwitchEffect_RT	Pre_Switch_ACC	Pre_Repeat_ACC	Pre_SwitchEffect_ACC	Pre_Lag2_T2T1	Pre_Lag3_T2T1	Pre_ABEffect1823_T2T1	Pre_Total_3BackACC	Pre_Distractor_3BackACC	Pre_Total_3BackRT	Pre_Distractor_3BackRT	Simon_ACC
28062	0.3750	0.3125	120	475.0714	372.8864	102.1851	.9333	.9778	.0444	63	57	9	30	62.00	942.0667	742.9773	199.0894	.9778	1.0000	-.0222	.9333	.7778	.1111	.6250	.4000	764.9200	1158.1250	.98
28063	1.0000	0.9375	60	413.0833	367.9767	45.1066	.8000	.9556	.1556	68	39	15	28	51.00	839.4667	630.1136	209.3530	.9778	1.0000	-.0222	.9524	.5789	.1927	.8625	.6500	710.4493	843.7692	.96
28064	-0.3750	0.0000	292	574.8667	726.4146	-151.5480	1.0000	.9111	-.0889	19	14	12	37	99.00	1277.6154	759.0930	518.5224	.9556	.8667	.0889	.3125	.2222	.4011	.7250	.7500	1022.1379	979.6667	.91
28065	0.6250	0.8750	60	374.8571	337.8537	37.0035	.9333	.9111	-.0222	46	61	11	29	57.00	962.0000	640.7955	321.2045	.9778	.9333	.0444	1.0000	1.0000	.0000	.7875	.5500	989.5079	1151.5455	.91
28066	-0.3750	0.0000	296	402.4545	351.9773	50.4773	.7333	.9778	.2444	47	55	10	30	62.00	1199.6923	737.6667	462.0256	.9333	.8667	.0667	.5238	.5000	.3229	.8250	.7000	1061.8030	1284.0714	.98
28067	0.3750	0.0000	120	504.7857	401.2222	103.5635	.9333	1.0000	.0667	39	37	12	38	99.00	950.6667	718.9524	231.7143	.9333	1.0000	-.0667	.7143	.8182	.1921	.8000	.7000	1340.7188	1635.7857	1.00
28068	1.0000	0.0625	120	781.0667	665.3571	115.7095	1.0000	.9333	-.0667	62	46	13	35	90.00	1214.9231	859.2222	355.7009	1.0000	.8667	.1333	.4500	.5263	.2401	.9125	.8000	804.5753	985.8750	.93
28069	0.8750	0.8750	60	503.4286	420.4091	83.0195	.9333	.9778	.0444	32	26	17	36	96.00	995.6154	658.6889	336.9265	1.0000	.8667	.1333	.5238	.8571	.2574	.2000	.1500	991.4375	1168.0000	.98
28070	1.0000	0.7500	360	489.3571	523.2326	-33.8754	.9333	.9556	.0222	69	75	14	36	96.00	1192.8333	889.8333	303.0000	.9333	.8000	.1333	.7647	.7000	.0023	.8875	.8000	743.7606	766.0625	.96
28071	0.1875	1.0000	60	488.3077	402.0455	86.2622	.8667	.9778	.1111	60	31	16	35	90.00	908.0769	482.0909	425.9860	.9778	.8667	.1111	.6667	.5714	.2869	.8875	.7500	807.5634	945.3333	.98
28072	0.5625	0.9375	60	494.9333	476.4773	18.4561	1.0000	.9778	-.0222	42	51	12	38	99.00	1493.0000	907.4524	585.5476	.9333	.9333	.0000	.8571	.7083	.1163	.9500	.9500	859.5658	932.6842	.98
28073	0.9375	0.5625	120	664.5000	642.2000	22.3000	.9333	1.0000	.0667	48	30	12	35	90.00	1296.0000	997.9773	298.0227	.9778	.9333	.0444	.9130	.8261	.0858	.8250	.6500	1140.0758	1526.6923	1.00
28074	0.8750	0.7500	180	394.3000	308.7955	85.5045	.6667	.9778	.3111	42	32	10	38	99.00	1037.0000	554.5238	482.4762	.9333	.9333	.0000	.9000	.8500	.0170	.7875	.6500	592.8254	698.5385	.98
28075	0.3125	0.9375	120	454.5833	392.1111	62.4722	.8000	1.0000	.2000	55	46	7	33	80.00	1191.8000	725.1905	466.6095	.9333	1.0000	-.0667	.9444	.9474	-.0917	.8125	.8500	1010.3538	1100.2353	1.00
28076	1.0000	0.7500	60	476.2308	405.9762	70.2546	.8667	.9333	.0667	23	50	7	33	80.00	940.1667	804.4286	135.7381	.9333	.8000	.1333	.8947	.7727	.0445	.6875	.2000	1025.0364	1437.0000	.93
28077	0.7500	0.6875	360	499.9231	397.3556	102.5675	.8667	1.0000	.1333	24	3	7	30	62.00	1163.2000	899.7500	263.4500	.9778	.6667	.3111	.6875	.5500	.2979	.6625	.4000	842.3962	864.2500	1.00
28078	0.8750	0.7500	180	427.0769	375.5909	51.4860	.8667	.9778	.1111	27	26	12	29	57.00	1070.6923	580.8293	489.8630	.9111	.8667	.0444	.9565	.7500	.0717	.8750	.9500	660.9571	832.0000	.98
28079	0.9375	0.8750	60	476.8000	420.1860	56.6140	1.0000	.9556	-.0444	37	45	15	38	99.00	1001.5455	649.1333	352.4121	1.0000	.7333	.2667	.7727	.7727	.0466	.8875	.8000	621.4225	709.8125	.96
